Country Name,Country Code,Year,Population
India,IND,1960,435990338.0
India,IND,1961,446564729.0
India,IND,1962,457283090.0
India,IND,1963,468138575.0
India,IND,1964,479229598.0
India,IND,1965,490140146.0
India,IND,1966,500740247.0
India,IND,1967,511606372.0
India,IND,1968,522716889.0
India,IND,1969,533880544.0
India,IND,1970,545864268.0
India,IND,1971,558096387.0
India,IND,1972,570482142.0
India,IND,1973,583465598.0
India,IND,1974,597041391.0
India,IND,1975,611309535.0
India,IND,1976,625861883.0
India,IND,1977,640801103.0
India,IND,1978,655728229.0
India,IND,1979,671155747.0
India,IND,1980,687354025.0
India,IND,1981,703696250.0
India,IND,1982,720313473.0
India,IND,1983,737372681.0
India,IND,1984,754875449.0
India,IND,1985,772647793.0
India,IND,1986,790689978.0
India,IND,1987,808931270.0
India,IND,1988,827342990.0
India,IND,1989,846039529.0
India,IND,1990,864972221.0
India,IND,1991,883927600.0
India,IND,1992,902957070.0
India,IND,1993,922118387.0
India,IND,1994,941163767.0
India,IND,1995,960301044.0
India,IND,1996,979678458.0
India,IND,1997,999133762.0
India,IND,1998,1018665080.0
India,IND,1999,1038225823.0
India,IND,2000,1057922733.0
India,IND,2001,1077898575.0
India,IND,2002,1097600380.0
India,IND,2003,1116803006.0
India,IND,2004,1135991513.0
India,IND,2005,1154676322.0
India,IND,2006,1172878890.0
India,IND,2007,1190676021.0
India,IND,2008,1207930964.0
India,IND,2009,1225524753.0
India,IND,2010,1243481564.0
India,IND,2011,1261224954.0
India,IND,2012,1278674502.0
India,IND,2013,1295829511.0
India,IND,2014,1312277191.0
India,IND,2015,1328024498.0
India,IND,2016,1343944296.0
India,IND,2017,1359657400.0
India,IND,2018,1374659064.0
India,IND,2019,1389030312.0
India,IND,2020,1402617695.0
India,IND,2021,1414203896.0
India,IND,2022,1425423212.0
India,IND,2023,1438069596.0
India,IND,2024,1450935791.0
